Date,1m-Libor,EWJ,GLD,MUB,VNQ,DBA,EWL,GOVT,QQQ,VNQI,EWA,EWQ,GWX,SPY,VWO,EWC,EWT,HYEM,TIP,VWOB,EWG,EWU,HYG,UNG,WIP,EWH,EWY,IWM,USO
11/28/2017,1.34978,56.35665894,122.8099976,100.3846588,72.07563019,18.6250248,32.46450424,23.43205452,152.2789307,51.18470383,19.58454895,29.07939911,31.42186737,244.8751678,40.95266724,26.61795235,34.03884888,19.55656433,103.3385391,67.33509827,30.26883507,30.2213974,71.9573288,24.92000008,50.20357895,22.95768929,71.30489349,145.4622192,92.63999939
11/29/2017,1.36069,56.24388885,122.0400009,100.2020721,72.10129547,18.77114296,32.23373795,23.38556099,149.624115,50.83065414,19.47365761,29.02387047,31.37867165,244.7260895,40.38437653,26.42566681,33.64199448,19.52488136,103.0578156,67.12626648,30.18682861,30.15252876,71.86725616,25.23999977,49.94981384,22.78991699,70.8210907,145.9475708,91.76000214
11/30/2017,1.37188,56.3002739,121.0999985,100.4668427,72.21253204,18.58606148,32.28911972,23.32977295,150.8785858,50.99081802,19.42247963,29.02387047,31.42186737,246.8686676,40.12278366,26.49891853,33.46160507,19.39814758,102.9491501,67.03432465,30.28705788,30.14392471,71.88362885,24.20000076,49.76602936,22.6574707,69.91861725,146.2139587,91.76000214
12/1/2017,1.37938,56.04654312,121.5899963,100.7550201,72.38367462,18.56657982,32.42758179,23.41823006,150.2367554,51.00768661,19.49072075,28.84802628,31.39594841,246.3562927,39.73490906,26.8926487,33.371418,19.46739388,103.3411789,67.24651337,30.02281761,30.06645775,71.8605957,24.39999962,50.27254105,22.57800102,69.84418488,145.6144409,93.36000061
12/4/2017,1.39181,55.45450211,121.1800003,100.7915802,72.0242691,18.48864937,32.23373795,23.3996048,148.5057678,50.71263885,19.36277199,28.92206573,31.19724083,246.0582123,39.87022781,26.74614334,33.3173027,19.4435215,103.3775864,67.19618225,30.12304878,29.97177505,71.83591461,23.68000031,50.1759758,22.46321487,70.09538269,145.0720825,91.91999817
12/5/2017,1.40319,55.59546661,120.3199997,101.1757965,71.4253006,18.36201477,32.03989029,23.42753792,148.6030121,50.95709229,19.32864952,28.80175018,31.11084366,245.1733093,39.80707169,26.67288971,33.17299271,19.50718689,103.4867401,67.37227631,29.99548149,29.92012596,71.79481506,23.20000076,50.31643295,22.36608315,70.33728027,143.6255951,92.31999969
12/6/2017,1.40688,55.38872528,120.0699997,101.7612839,71.35682678,18.16719246,32.05834961,23.44615936,149.2740479,50.72950363,19.27746964,28.76473236,30.90349579,245.2198792,39.31095123,26.47145081,32.47850037,19.51514053,103.595871,67.39740753,29.94992447,29.87708855,71.72901917,23.12000084,50.27254105,22.17182732,69.16498566,142.9499664,89.59999847
12/7/2017,1.43185,55.74582291,118.4899979,101.6697769,71.53651428,18.00159264,31.98450661,23.41823006,149.7797089,50.75478745,19.26894188,28.86653328,30.95533562,245.9930573,39.36507416,26.59048462,32.50556564,19.52310181,103.4594421,67.27165222,30.08659744,29.95455933,71.76191711,22,50.07064438,22.14533806,69.10917664,143.9491425,90.63999939
12/8/2017,1.44438,56.00894928,118.4800034,101.1392059,71.90447998,17.95288849,32.15989304,23.41823006,150.4409637,51.10884094,19.32864952,28.94057274,31.01581383,247.3344574,39.81609344,26.6820507,32.72202682,19.54698753,103.4139709,67.21294403,30.1959343,30.16974831,71.83591461,22.12000084,49.94776535,22.28661537,69.29525757,144.0823822,91.91999817
12/11/2017,1.45951,56.19690323,118.0100021,101.0203018,71.89592743,17.82625389,32.15989304,23.3996048,151.6079102,51.06668472,19.37129974,28.93131828,31.14540291,248.0796356,40.0776825,26.70036125,32.94750214,19.47534943,103.3320847,67.18780518,30.17770958,30.27304077,71.8523941,22.23999977,49.80731201,22.31310272,69.45340729,144.0253296,92.80000305
